seed,tau,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
56077,77,1.2803588290856367,0.001890276166379561,1.2784685529192572,1.186951867059384,0.008848572382171902,1.178103294677212,0.007886841761258137,0.0024317092709540446,0.005455132490304092,0.008152634794274896,0.0017284761529165243,0.006424158641358372,1.172648162186908,1.1716791360358536,1.0
56078,78,1.2520272697145927,0.000997452571549893,1.2510298171430427,1.1856370424162936,0.008851533486039348,1.1767855089302544,0.010519503494917233,0.0033436412270067832,0.007175862267910451,0.010625424247518715,0.044053441459217996,0.0,1.1696096466623438,1.1767855089302544,1.0
56079,79,1.3280550460464153,0.002247567938236012,1.3258074781081792,1.2564951828813267,0.009004642115157705,1.247490540766169,0.01572070430707766,0.0025877298265211623,0.013132974480556498,0.01629863467449442,0.0023274897633206427,0.013971144911173778,1.2343575662856126,1.2335193958549953,1.0
56080,80,1.3501487191562438,0.0017979915851015413,1.3483507275711422,1.2556239084306011,0.009142611540587523,1.2464812968900136,0.0014737576836877978,0.00308033241351981,0.0,0.0013523431544238546,0.0041186969569558946,0.0,1.2464812968900136,1.2464812968900136,1.0
57000,0,7.557113665749251e-06,3.450297393012076e-05,0.0,0.0018583669449144095,0.0021151730295905467,0.0,0.000279225046821074,1.6890449828470943e-05,0.00026233459699260306,0.033652437874927416,2.1975017087212717e-05,0.0336304628578402,-0.00026233459699260306,-0.0336304628578402,0.0
57001,1,0.005717528612007385,0.00011659729003004272,0.005600931321977342,0.008791561816511837,0.0021269502004538465,0.00666461161605799,0.5131767437595338,5.775087734434139e-05,0.5131189928821894,0.4434407550031658,5.2847351486279146e-05,0.44338790765167957,-0.5064543812661314,-0.4367232960356216,0.0
57002,2,0.9395127546547442,0.0025887365854599664,0.9369240180692842,1.2939646117820371,0.002129899495423116,1.291834712286614,2.016694857126454,0.00107038241669368,2.0156244747097602,2.025700315823799,0.0019613924527063617,2.0237389233710927,-0.7237897624231462,-0.7319042110844787,0.0
57003,3,0.40967389204288174,0.002536455345164653,0.40713743669771707,0.48810472106993075,0.0021072394300183897,0.48599748163991235,1.6024251677394707,0.007342721229818279,1.5950824465096525,1.6164709852048518,0.002190989501013118,1.6142799957038387,-1.10908496486974,-1.1282825140639263,0.0
57004,4,0.9227109976656083,0.0017560374441240039,0.9209549602214843,1.246790629774328,0.002199275875172125,1.244591353899156,1.386515502330718,0.0013814451145639948,1.3851340572161541,1.3967977698113303,0.015794532125549394,1.3810032376857808,-0.14054270331699814,-0.13641188378662483,0.0
57005,5,0.2670829907844441,0.001784542624510959,0.26529844815993314,0.3285936101155227,0.002115000653973528,0.32647860946154916,1.2517242227044274,0.0028652150828264904,1.2488590076216008,1.259932077035131,0.0013774400836319197,1.258554636951499,-0.9223803981600517,-0.9320760274899499,0.0
57006,6,0.027360403337872128,0.002077143849614241,0.025283259488257888,0.03799951097255685,0.0021914285859519094,0.03580808238660494,1.1583629176455197,0.004872136517447416,1.1534907811280724,1.1644918189651259,0.002194187152613858,1.162297631812512,-1.1176826987414674,-1.126489549425907,0.0
57007,7,0.4783570775388743,0.0299571003796305,0.4483999771592438,0.5738704050920144,0.002275728716159448,0.5715946763758549,1.081361577325547,0.0020621606942949284,1.079299416631252,1.0867400965333933,0.0020042426589038076,1.0847358538744896,-0.507704740255397,-0.5131411774986346,0.0
57008,8,1.248686567798397,0.003241915963357253,1.2454446518350397,2.020316592604066,0.0021733874262158904,2.01814320517785,1.0132459894517425,0.013949220940105195,0.9992967685116373,1.0180549148213416,0.0018582611284654676,1.0161966536928762,1.0188464366662129,1.001946551484974,0.0
57009,9,1.2997640026220127,0.004883585340048342,1.2948804172819643,2.1975159227196994,0.0020344346407464254,2.195481488078953,0.953662268794039,0.0038204752339664975,0.9498417935600726,0.9574897320144674,0.0048019744275804134,0.952687757586887,1.2456396945188803,1.2427937304920658,0.0
57010,10,0.6870060393874597,0.002409932916736094,0.6845961064707237,1.0005922632034498,0.002110511381521048,0.9984817518219288,0.9031458812830476,0.0018280145880165174,0.9013178666950311,0.9063247909317924,0.0027121189982360996,0.9036126719335563,0.09716388512689766,0.09486907988837245,0.0
