P,alpha,epsilon,tau_h_theory,tau_h_mc,error_relative,status,tau_max_used,mi_start,mi_end,mi_end_ci_lo,mi_end_ci_hi
10.0,0.0031622776601683794,0.0031622776601683794,719767.505236544,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.009573640858717406,0.009042732979115207,0.010104548738319605
10.0,0.01,0.0031622776601683794,227610.470232465,nan,nan,NO_CROSS,250000.0,8.305039862350693,0.0031662790519907252,0.0028693626529766878,0.0034631954510047627
10.0,0.0001,0.01,7163589.728604907,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.2448191687427476,0.24220841916461952,0.24742991832087566
10.0,0.00031622776601683794,0.01,2265325.9765378963,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.08737278929175643,0.08573505793750227,0.08901052064601059
10.0,0.001,0.01,716358.9728604908,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.0291720342770272,0.028227302039452323,0.030116766514602076
10.0,0.0031622776601683794,0.01,226532.59765378962,238988.6113308009,0.054985524405842166,COVERED,250000.0,8.305039862350693,0.009573640858717406,0.009042732979115207,0.010104548738319605
10.0,0.01,0.01,71635.89728604908,75574.96984359268,0.0549874114344448,COVERED,107453.8459290736,8.305039862350693,0.007117599398324452,0.006662841097237641,0.007572357699411263
10.0,0.0001,0.03162277660168379,2231465.4580593905,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.2448191687427476,0.24220841916461952,0.24742991832087566
10.0,0.00031622776601683794,0.03162277660168379,705651.3367458611,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.08737278929175643,0.08573505793750227,0.08901052064601059
10.0,0.001,0.03162277660168379,223146.54580593907,229943.90143972432,0.030461397505550533,COVERED,250000.0,8.305039862350693,0.0291720342770272,0.028227302039452323,0.030116766514602076
10.0,0.0031622776601683794,0.03162277660168379,70565.1336745861,72714.66485750256,0.03046166103544995,COVERED,105847.70051187916,8.305039862350693,0.022002469998571424,0.02118517319969327,0.022819766797449577
10.0,0.01,0.03162277660168379,22314.654580593906,22994.52788310762,0.03046757009203144,COVERED,33471.98187089086,8.305039862350693,0.022002469998571424,0.02118517319969327,0.022819766797449577
10.0,0.0001,0.1,672501.3958872572,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.2448191687427476,0.24220841916461952,0.24742991832087566
10.0,0.00031622776601683794,0.1,212663.61406463245,216224.89815816947,0.01674609034178587,COVERED,250000.0,8.305039862350693,0.08737278929175643,0.08573505793750227,0.08901052064601059
10.0,0.001,0.1,67250.13958872571,68376.5226329713,0.016749155483305935,COVERED,100875.20938308857,8.305039862350693,0.0695002730903108,0.06803626829304486,0.07096427788757674
10.0,0.0031622776601683794,0.1,21266.361406463246,21622.550101977788,0.016748925154929865,COVERED,31899.54210969487,8.305039862350693,0.06950027309031093,0.06803626829304499,0.07096427788757687
10.0,0.01,0.1,6725.0139588725715,6837.611960970781,0.016743162584763827,COVERED,10087.520938308857,8.305039862350693,0.0695002730903108,0.06803626829304486,0.07096427788757674
