tau,seed,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
67,51567.0,1.2067031250752236,0.004068579032872264,1.202634546042351,1.1001706872025276,0.009398339702136046,1.0907723475003916,0.010004822384839178,0.004508679452001445,0.007617213039634268,0.00993272797591762,0.00619517392499897,0.0070043382587539615,1.0831551344607573,1.0837680092416377,0.999875
68,51568.0,1.2175129568405785,0.0017594698089711744,1.2157534870316073,1.1090113438948457,0.009629897960943276,1.0993814459339024,0.009534348715424345,0.006601546552372215,0.005924464831533869,0.009537334161132675,0.006912964452777462,0.006683641329720489,1.0934569811023684,1.092697804604182,0.999
69,51569.0,1.2187990513015599,0.021931241242931852,1.196867810058628,1.1093219635679716,0.009442529328052441,1.0998794342399192,0.013069410571626064,0.005832504298328545,0.009887518165325637,0.013078455321319715,0.006230950891344891,0.009419785715824708,1.0899919160745934,1.0904596485240945,0.999625
70,51570.0,1.2232956147389356,0.009539996545846348,1.213755618193089,1.1283075303405947,0.009585975353487635,1.1187215549871072,0.00659049610610591,0.009056334916291622,0.003722925694722907,0.006489905322978645,0.006853583588079776,0.0031986597526832057,1.1149986292923844,1.115522895234424,0.998875
71,51571.0,1.2374350891309913,0.050603837352355505,1.1868312517786357,1.1431775924660132,0.009567921169395558,1.1336096712966177,0.007403571192875815,0.005993605193452935,0.0038513944602478465,0.007374668867836045,0.011889753919643493,0.003859537853006352,1.1297582768363699,1.1297501334436113,0.999625
72,51572.0,1.2421405505790344,0.0016401414522630969,1.240500409126771,1.144548401551995,0.009602766112933342,1.134945635439062,0.009255502634740426,0.005834907524244951,0.005588385498816922,0.00935143231801489,0.00504685051411739,0.007128270790059276,1.129357249940245,1.1278173646490026,0.999375
73,51573.0,1.2485023336808532,0.0032213961585425077,1.2452809375223106,1.1593861827434684,0.009667469764596162,1.1497187129788722,0.007086284050414277,0.008286671576649567,0.0041334968034875685,0.0070588060121615365,0.010875521187308817,0.0034557584548216046,1.1455852161753846,1.1462629545240506,0.99975
74,51574.0,1.2545793299479535,0.0014306963944746842,1.253148633553479,1.1724751228273729,0.00918550920210214,1.1632896136252708,0.00694524179615882,0.011345393008844606,0.004963619902336623,0.007003918528938677,0.0030856031584289866,0.005121431932764749,1.1583259937229342,1.158168181692506,0.9995
75,51575.0,1.2718362569397155,0.0014279253189641266,1.2704083316207513,1.180662517769962,0.009696314072287722,1.1709662036976742,0.006158925494471083,0.009076371995158448,0.002886440992408488,0.006170901516968905,0.0059125440456510555,0.004119057301461166,1.1680797627052657,1.1668471463962131,0.999375
76,51576.0,1.2626235574933014,0.00150459666007874,1.261118960833223,1.1852661611551665,0.00960272994141011,1.1756634312137566,0.00674192188757681,0.006298444715641532,0.004014215573102293,0.006714196427517026,0.01072288544304107,0.003995500534606782,1.1716492156406544,1.1716679306791498,0.9995
77,51577.0,1.2765025179833294,0.0015525085389357569,1.2749500094443937,1.197736481218561,0.009382095484119609,1.1883543857344414,0.006787654754318929,0.004616059270916533,0.004725496816219928,0.006797834599327484,0.005111233054218654,0.0049180910957768754,1.1836288889182214,1.1834362946386645,0.999625
78,51578.0,1.2900338603481463,0.001712861250424222,1.288320999097722,1.2154612918289764,0.009430109143595287,1.2060311826853813,0.005568414904953424,0.006390274865683684,0.002853358195794266,0.005637112734370224,0.014252833195975607,0.0026391567984531297,1.203177824489587,1.2033920258869282,0.99975
79,51579.0,1.3004678607806697,0.001451137832675346,1.2990167229479943,1.225634422114131,0.009032843208647359,1.2166015789054836,0.006340895228385743,0.005264411335388415,0.003448799375254328,0.006388431193813863,0.005449158760972069,0.0034410144103922654,1.2131527795302293,1.2131605644950914,0.99975
80,51580.0,1.2869814568541842,0.004922096601209255,1.2820593602529748,1.2256442605795568,0.009301612263493676,1.216342648316063,0.004350143097167613,0.00319416422255532,0.002741564291902309,0.0043833911225529595,0.006089253552979961,0.0024365440413208527,1.213601084024161,1.2139061042747423,0.999125
